"BehaviorSpace results (NetLogo 6.2.0)"
"IdeoEpiChamber9StartTypes.nlogo"
"experiment"
"06/08/2021 05:53:55:578 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"4","0","PnOyyy","true","0","false","3","200","2204","0.6271415507745544","999999999","0.40625","0.5857142857142857","0.6458333333333334","0.84","999999999","0.59375","0.4142857142857143","0.3541666666666667","0.16"
"2","0","PnOyyy","true","0","false","2","200","2174","0.622108675832052","0.45454545454545453","0.5135135135135135","0.7","0.8372093023255814","0.9743589743589743","0.5454545454545454","0.4864864864864865","0.3","0.16279069767441862","0.02564102564102564"
"3","0","PnOyyy","true","0","false","2","200","2169","0.6412858750608117","0.5625","0.5116279069767442","0.7142857142857143","0.918918918918919","1","0.4375","0.4883720930232558","0.2857142857142857","0.08108108108108109","0"
"1","0","PnOyyy","true","0","false","2","200","2167","0.6259208382888278","0.4444444444444444","0.7142857142857143","0.8","0.9423076923076923","0.84375","0.5555555555555556","0.2857142857142857","0.2","0.057692307692307696","0.15625"
"5","0","PnOyyy","true","0","false","3","200","2173","0.6141367403689882","0.5714285714285714","0.5957446808510638","0.7","0.9090909090909091","1","0.42857142857142855","0.40425531914893614","0.3","0.09090909090909091","0"
"6","0","PnOyyy","true","0","false","2","200","2164","0.6146248639649935","0.42105263157894735","0.6285714285714286","0.7571428571428571","0.8222222222222222","0.8387096774193549","0.5789473684210527","0.37142857142857144","0.24285714285714285","0.17777777777777778","0.16129032258064516"
"7","0","PnOyyy","true","0","false","3","200","2174","0.6305163051313679","0.7142857142857143","0.7272727272727273","0.8714285714285714","0.9722222222222222","0.9333333333333333","0.2857142857142857","0.2727272727272727","0.12857142857142856","0.027777777777777776","0.06666666666666667"
"8","0","PnOyyy","true","0","false","2","200","2193","0.627107172924552","0.8","0.7948717948717948","0.7714285714285715","0.8292682926829268","0.95","0.2","0.20512820512820512","0.22857142857142856","0.17073170731707318","0.05"
"9","0","PnOyyy","true","0","false","2","200","2182","0.6184399376818467","0.4482758620689655","0.5227272727272727","0.6285714285714286","0.9444444444444444","0.9047619047619048","0.5517241379310345","0.4772727272727273","0.37142857142857144","0.05555555555555555","0.09523809523809523"
"10","0","PnOyyy","true","0","false","3","200","2157","0.6339827177981505","0.3125","0.5428571428571428","0.7","0.7777777777777778","0.8823529411764706","0.6875","0.45714285714285713","0.3","0.2222222222222222","0.11764705882352941"
"11","0","PnOyyy","true","0","false","2","200","2164","0.6345420757268547","0.4","0.5952380952380952","0.6714285714285714","0.868421052631579","1","0.6","0.40476190476190477","0.32857142857142857","0.13157894736842105","0"
"12","0","PnOyyy","true","0","false","2","200","2146","0.6281130964455881","0.5384615384615384","0.5365853658536586","0.6857142857142857","0.8205128205128205","0.9583333333333334","0.46153846153846156","0.4634146341463415","0.3142857142857143","0.1794871794871795","0.041666666666666664"
"13","0","PnOyyy","true","0","false","2","200","2161","0.6306963376547571","0.25","0.575","0.6714285714285714","0.9","0.8823529411764706","0.75","0.425","0.32857142857142857","0.1","0.11764705882352941"
"14","0","PnOyyy","true","0","false","2","200","2145","0.6231816157978453","0.7","0.5853658536585366","0.7714285714285715","0.8717948717948718","0.7666666666666667","0.3","0.4146341463414634","0.22857142857142856","0.1282051282051282","0.23333333333333334"
"15","0","PnOyyy","true","0","false","3","200","2153","0.623004590627819","0.5","0.3548387096774194","0.7285714285714285","0.6938775510204082","0.9166666666666666","0.5","0.6451612903225806","0.2714285714285714","0.30612244897959184","0.08333333333333333"
"16","0","PnOyyy","true","0","false","2","200","2160","0.6156440861998679","0.40540540540540543","0.8723404255319149","0.8285714285714286","0.9696969696969697","1","0.5945945945945946","0.1276595744680851","0.17142857142857143","0.030303030303030304","0"
"17","0","PnOyyy","true","0","false","3","200","2121","0.6259138659935525","0.2727272727272727","0.4","0.6571428571428571","0.7555555555555555","0.8717948717948718","0.7272727272727273","0.6","0.34285714285714286","0.24444444444444444","0.1282051282051282"
"18","0","PnOyyy","true","0","false","3","200","2157","0.6134676454668455","0.5882352941176471","0.6382978723404256","0.8142857142857143","0.8787878787878788","1","0.4117647058823529","0.3617021276595745","0.18571428571428572","0.12121212121212122","0"
"19","0","PnOyyy","true","0","false","2","200","2164","0.6149894288187765","0.6538461538461539","0.6944444444444444","0.7714285714285715","0.8863636363636364","1","0.34615384615384615","0.3055555555555556","0.22857142857142856","0.11363636363636363","0"
"21","0","PnOyyy","true","0","false","3","200","2161","0.634091512091716","0.42857142857142855","0.625","0.7857142857142857","0.875","0.8372093023255814","0.5714285714285714","0.375","0.21428571428571427","0.125","0.16279069767441862"
"20","0","PnOyyy","true","0","false","2","200","2149","0.6109199247826629","0.4","0.7317073170731707","0.6857142857142857","0.8205128205128205","0.8571428571428571","0.6","0.2682926829268293","0.3142857142857143","0.1794871794871795","0.14285714285714285"
"22","0","PnOyyy","true","0","false","3","200","2116","0.6258588475925574","0.25","0.5357142857142857","0.6714285714285714","0.9230769230769231","0.8809523809523809","0.75","0.4642857142857143","0.32857142857142857","0.07692307692307693","0.11904761904761904"
"23","0","PnOyyy","true","0","false","2","200","2165","0.631003985978702","0.5652173913043478","0.6842105263157895","0.8285714285714286","0.9761904761904762","0.9629629629629629","0.43478260869565216","0.3157894736842105","0.17142857142857143","0.023809523809523808","0.037037037037037035"
