"BehaviorSpace results (NetLogo 6.2.0)"
"IdeoEpiChamber9StartTypes.nlogo"
"experiment"
"06/07/2021 21:35:22:676 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"3","0","PnnOyy","true","0","false","2","200","2156","0.6157809091611333","0.3333333333333333","0.4318181818181818","0.5142857142857142","0.7222222222222222","0.5769230769230769","0.6666666666666666","0.5681818181818182","0.4857142857142857","0.2777777777777778","0.4230769230769231"
"2","0","PnnOyy","true","0","false","2","200","2140","0.6300363184663149","0.2","0.37209302325581395","0.5428571428571428","0.7837837837837838","1","0.8","0.627906976744186","0.45714285714285713","0.21621621621621623","0"
"4","0","PnnOyy","true","0","false","2","200","2161","0.6155670755651927","0.2857142857142857","0.4117647058823529","0.5428571428571428","0.7241379310344828","0.6944444444444444","0.7142857142857143","0.5882352941176471","0.45714285714285713","0.27586206896551724","0.3055555555555556"
"1","0","PnnOyy","true","0","false","3","200","2172","0.623518466686577","0.07407407407407407","0.3684210526315789","0.5285714285714286","0.7142857142857143","0.8695652173913043","0.9259259259259259","0.631578947368421","0.4714285714285714","0.2857142857142857","0.13043478260869565"
"5","0","PnnOyy","true","0","false","2","200","2166","0.6204833003711308","0.04","0.3157894736842105","0.44285714285714284","0.7857142857142857","0.72","0.96","0.6842105263157895","0.5571428571428572","0.21428571428571427","0.28"
"6","0","PnnOyy","true","0","false","2","200","2164","0.6282347451956432","0.20512820512820512","0.4375","0.45714285714285713","0.5625","0.36363636363636365","0.7948717948717948","0.5625","0.5428571428571428","0.4375","0.6363636363636364"
"8","0","PnnOyy","true","0","false","3","200","2181","0.6348514396265581","0.2","0.25806451612903225","0.3142857142857143","0.5918367346938775","0.85","0.8","0.7419354838709677","0.6857142857142857","0.40816326530612246","0.15"
"7","0","PnnOyy","true","0","false","2","200","2152","0.6137764479267429","0.2916666666666667","0.2391304347826087","0.4857142857142857","0.4411764705882353","0.6538461538461539","0.7083333333333334","0.7608695652173914","0.5142857142857142","0.5588235294117647","0.34615384615384615"
"9","0","PnnOyy","true","0","false","2","200","2131","0.6216715341028491","0.13043478260869565","0.40540540540540543","0.5285714285714286","0.6976744186046512","0.9629629629629629","0.8695652173913043","0.5945945945945946","0.4714285714285714","0.3023255813953488","0.037037037037037035"
"10","0","PnnOyy","true","0","false","2","200","2144","0.6497683974611711","0.5","0.26666666666666666","0.7285714285714285","0.7142857142857143","1","0.5","0.7333333333333333","0.2714285714285714","0.2857142857142857","0"
"12","0","PnnOyy","true","0","false","2","200","2183","0.6240481922607025","0.047619047619047616","0.34782608695652173","0.6142857142857143","0.9411764705882353","0.896551724137931","0.9523809523809523","0.6521739130434783","0.38571428571428573","0.058823529411764705","0.10344827586206896"
"11","0","PnnOyy","true","0","false","2","200","2147","0.61321865037694","0.2777777777777778","0.3829787234042553","0.5857142857142857","0.8181818181818182","0.9285714285714286","0.7222222222222222","0.6170212765957447","0.4142857142857143","0.18181818181818182","0.07142857142857142"
"13","0","PnnOyy","true","0","false","2","200","2147","0.6243890462587921","0.25","0.44680851063829785","0.44285714285714284","0.6666666666666666","0.5555555555555556","0.75","0.5531914893617021","0.5571428571428572","0.3333333333333333","0.4444444444444444"
"14","0","PnnOyy","true","0","false","2","200","2156","0.6210072955446657","0.2727272727272727","0.38636363636363635","0.7285714285714285","0.7222222222222222","1","0.7272727272727273","0.6136363636363636","0.2714285714285714","0.2777777777777778","0"
"16","0","PnnOyy","true","0","false","2","200","2160","0.6204197133143222","0.5","0.4375","0.4142857142857143","0.46875","0.6071428571428571","0.5","0.5625","0.5857142857142857","0.53125","0.39285714285714285"
"15","0","PnnOyy","true","0","false","3","200","2132","0.6221574620299578","0.15","0.5853658536585366","0.5","0.6666666666666666","0.8","0.85","0.4146341463414634","0.5","0.3333333333333333","0.2"
"17","0","PnnOyy","true","0","false","3","200","2179","0.6152298191256209","0.1111111111111111","0.39473684210526316","0.6428571428571429","0.8095238095238095","0.9285714285714286","0.8888888888888888","0.6052631578947368","0.35714285714285715","0.19047619047619047","0.07142857142857142"
"18","0","PnnOyy","true","0","false","2","200","2142","0.6306425265886006","0.23255813953488372","0.37254901960784315","0.4142857142857143","0.6206896551724138","0.7142857142857143","0.7674418604651163","0.6274509803921569","0.5857142857142857","0.3793103448275862","0.2857142857142857"
"20","0","PnnOyy","true","0","false","3","200","2163","0.6338228620171508","0.3","0.0967741935483871","0.3142857142857143","0.46938775510204084","0.6","0.7","0.9032258064516129","0.6857142857142857","0.5306122448979592","0.4"
"19","0","PnnOyy","true","0","false","3","200","2218","0.6230142907969802","0.6666666666666666","0.6428571428571429","0.6857142857142857","0.8076923076923077","0.8863636363636364","0.3333333333333333","0.35714285714285715","0.3142857142857143","0.19230769230769232","0.11363636363636363"
"22","0","PnnOyy","true","0","false","2","200","2167","0.6275005516997378","0.3684210526315789","0.5142857142857142","0.45714285714285713","0.6444444444444445","0.7419354838709677","0.631578947368421","0.4857142857142857","0.5428571428571428","0.35555555555555557","0.25806451612903225"
"21","0","PnnOyy","true","0","false","3","200","2160","0.6114689808467036","0.14285714285714285","0.19444444444444445","0.2714285714285714","0.36363636363636365","0.5813953488372093","0.8571428571428571","0.8055555555555556","0.7285714285714285","0.6363636363636364","0.4186046511627907"
"23","0","PnnOyy","true","0","false","2","200","2180","0.6417652228171954","0.21052631578947367","0.38461538461538464","0.5428571428571428","0.7804878048780488","0.9166666666666666","0.7894736842105263","0.6153846153846154","0.45714285714285713","0.21951219512195122","0.08333333333333333"
"24","0","PnnOyy","true","0","false","2","200","2162","0.6219408051820782","0.26666666666666666","0.27906976744186046","0.5285714285714286","0.6216216216216216","0.8","0.7333333333333333","0.7209302325581395","0.4714285714285714","0.3783783783783784","0.2"
"26","0","PnnOyy","true","0","false","2","200","2144","0.621650452494709","0.3793103448275862","0.3953488372093023","0.5571428571428572","0.7027027027027027","0.6190476190476191","0.6206896551724138","0.6046511627906976","0.44285714285714284","0.2972972972972973","0.38095238095238093"
"25","0","PnnOyy","true","0","false","2","200","2184","0.6195054112753102","0.0967741935483871","0.3953488372093023","0.42857142857142855","0.7567567567567568","0.8947368421052632","0.9032258064516129","0.6046511627906976","0.5714285714285714","0.24324324324324326","0.10526315789473684"
"27","0","PnnOyy","true","0","false","3","200","2154","0.6244253105056641","0","0.24324324324324326","0.45714285714285713","0.6046511627906976","0.7027027027027027","1","0.7567567567567568","0.5428571428571428","0.3953488372093023","0.2972972972972973"
"28","0","PnnOyy","true","0","false","3","200","2162","0.6181132089851943","0.21428571428571427","0.425","0.5714285714285714","0.7","0.6944444444444444","0.7857142857142857","0.575","0.42857142857142855","0.3","0.3055555555555556"
"29","0","PnnOyy","true","0","false","2","200","2168","0.6146811788570136","0.0625","0.34146341463414637","0.44285714285714284","0.46153846153846156","0.7647058823529411","0.9375","0.6585365853658537","0.5571428571428572","0.5384615384615384","0.23529411764705882"
"30","0","PnnOyy","true","0","false","3","200","2162","0.623451597634222","0.24324324324324326","0.3181818181818182","0.44285714285714284","0.5277777777777778","0.6153846153846154","0.7567567567567568","0.6818181818181818","0.5571428571428572","0.4722222222222222","0.38461538461538464"
"31","0","PnnOyy","true","0","false","3","200","2114","0.6006198571110197","0.5128205128205128","0.5208333333333334","0.6142857142857143","0.78125","0.6363636363636364","0.48717948717948717","0.4791666666666667","0.38571428571428573","0.21875","0.36363636363636365"
"32","0","PnnOyy","true","0","false","3","200","2158","0.6295409371173132","0.2222222222222222","0.2631578947368421","0.4714285714285714","0.7380952380952381","0.75","0.7777777777777778","0.7368421052631579","0.5285714285714286","0.2619047619047619","0.25"
"33","0","PnnOyy","true","0","false","2","200","2180","0.6240115733877569","0.2702702702702703","0.3225806451612903","0.5428571428571428","0.6326530612244898","0.6153846153846154","0.7297297297297297","0.6774193548387096","0.45714285714285713","0.3673469387755102","0.38461538461538464"
