"BehaviorSpace results (NetLogo 6.2.2)"
"IdeoEpiChamberAvowal.nlogo"
"IncongruentPnOyyy"
"04/13/2022 10:14:30:958 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"6","0","PnOyyy","true","0","false","6","200","2132","0.6174527077432928","1","1","1","1","1","0","0","0","0","0"
"3","0","PnOyyy","true","0","false","6","200","2172","0.6273943172390595","1","1","1","1","1","0","0","0","0","0"
"7","0","PnOyyy","true","0","false","7","200","2129","0.6376277368105792","1","1","1","1","1","0","0","0","0","0"
"5","0","PnOyyy","true","0","false","7","200","2144","0.6058505058861882","1","1","1","1","1","0","0","0","0","0"
"10","0","PnOyyy","true","0","false","9","200","2160","0.6175676878954031","1","1","1","1","1","0","0","0","0","0"
"8","0","PnOyyy","true","0","false","7","200","2162","0.6265461368578549","1","1","1","1","1","0","0","0","0","0"
"9","0","PnOyyy","true","0","false","10","200","2148","0.6292226608108075","1","1","1","1","1","0","0","0","0","0"
"4","0","PnOyyy","true","0","false","11","200","2150","0.627967221580901","1","1","0.9142857142857143","0.88","0.9230769230769231","0","0","0.08571428571428572","0.12","0.07692307692307693"
"1","0","PnOyyy","true","0","false","8","200","2168","0.639076686452669","1","1","1","1","1","0","0","0","0","0"
"13","0","PnOyyy","true","0","false","6","200","2187","0.6251069892168202","1","1","1","1","1","0","0","0","0","0"
"17","0","PnOyyy","true","0","false","5","200","2114","0.620359165013382","1","1","1","1","1","0","0","0","0","0"
"11","0","PnOyyy","true","0","false","8","200","2179","0.6210686644591111","1","1","1","1","1","0","0","0","0","0"
"16","0","PnOyyy","true","0","false","8","200","2167","0.6177750468833024","1","1","1","1","1","0","0","0","0","0"
"14","0","PnOyyy","true","0","false","7","200","2156","0.6186361188310049","1","1","1","1","1","0","0","0","0","0"
"12","0","PnOyyy","true","0","false","7","200","2140","0.626850105931705","1","0.7407407407407407","0.9142857142857143","0.8867924528301887","1","0","0.25925925925925924","0.08571428571428572","0.11320754716981132","0"
"18","0","PnOyyy","true","0","false","9","200","2154","0.618274639168673","1","1","1","1","1","0","0","0","0","0"
"15","0","PnOyyy","true","0","false","4","200","2158","0.6164876618646743","1","1","1","1","1","0","0","0","0","0"
"19","0","PnOyyy","true","0","false","5","200","2153","0.6197097231499843","1","1","1","1","1","0","0","0","0","0"
"23","0","PnOyyy","true","0","false","4","200","2157","0.6208759648810653","0.46153846153846156","0.5588235294117647","0.6285714285714286","0.8260869565217391","1","0.5384615384615384","0.4411764705882353","0.37142857142857144","0.17391304347826086","0"
"22","0","PnOyyy","true","0","false","6","200","2189","0.6160167657697444","1","1","1","1","1","0","0","0","0","0"
"20","0","PnOyyy","true","0","false","3","200","2150","0.6213885995449667","1","1","1","1","1","0","0","0","0","0"
"21","0","PnOyyy","true","0","false","6","200","2131","0.6271407244674102","1","1","1","1","1","0","0","0","0","0"
"26","0","PnOyyy","true","0","false","6","200","2168","0.628029451080962","0.7272727272727273","0.8666666666666667","0.8285714285714286","1","1","0.2727272727272727","0.13333333333333333","0.17142857142857143","0","0"
"24","0","PnOyyy","true","0","false","10","200","2172","0.6235439662928046","1","1","1","1","1","0","0","0","0","0"
"25","0","PnOyyy","true","0","false","6","200","2182","0.6391741480471291","1","1","1","1","1","0","0","0","0","0"
"28","0","PnOyyy","true","0","false","5","200","2180","0.6188744468501404","1","1","1","1","1","0","0","0","0","0"
"27","0","PnOyyy","true","0","false","12","200","2142","0.6332679524820355","1","1","1","1","1","0","0","0","0","0"
"2","0","PnOyyy","true","0","false","100","200","2151","0.6173951193122454","0.9565217391304348","0.7575757575757576","0.9142857142857143","0.8723404255319149","0.9629629629629629","0.043478260869565216","0.24242424242424243","0.08571428571428572","0.1276595744680851","0.037037037037037035"
"31","0","PnOyyy","true","0","false","6","200","2156","0.6364750728205295","1","1","1","1","1","0","0","0","0","0"
"30","0","PnOyyy","true","0","false","6","200","2173","0.6221598915964025","1","1","1","1","1","0","0","0","0","0"
"29","0","PnOyyy","true","0","false","4","200","2169","0.6388999434880323","1","1","1","1","1","0","0","0","0","0"
"33","0","PnOyyy","true","0","false","6","200","2162","0.6397120040922801","1","1","1","1","1","0","0","0","0","0"
"32","0","PnOyyy","true","0","false","9","200","2197","0.620887248215091","1","1","1","1","1","0","0","0","0","0"
"35","0","PnOyyy","true","0","false","8","200","2144","0.6433708381528327","1","1","1","1","1","0","0","0","0","0"
"38","0","PnOyyy","true","0","false","6","200","2126","0.6318455658487853","0.8148148148148148","0.7692307692307693","0.8857142857142857","1","1","0.18518518518518517","0.23076923076923078","0.11428571428571428","0","0"
"37","0","PnOyyy","true","0","false","5","200","2156","0.6203691737187503","1","1","1","1","1","0","0","0","0","0"
"34","0","PnOyyy","true","0","false","7","200","2144","0.624119705503384","1","1","1","1","1","0","0","0","0","0"
"39","0","PnOyyy","true","0","false","6","200","2172","0.6358417541886804","1","0.8043478260869565","0.7571428571428571","0.8529411764705882","0.43333333333333335","0","0.1956521739130435","0.24285714285714285","0.14705882352941177","0.5666666666666667"
