"BehaviorSpace results (NetLogo 6.2.2)"
"IdeoEpiChamberAvowal.nlogo"
"IncongruentPnnOyy"
"04/13/2022 10:10:44:427 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-49","49","-49","49"
"[run number]","max-motivated-bias","StartType","small-world?","motivated-bias","layout?","[step]","count turtles","count links","average-bubble","Yes.vlib","Yes.lib","Yes.m","Yes.con","Yes.vcon","No.vlib","No.lib","No.m","No.con","No.vcon"
"2","0","PnnOyy","true","0","false","5","200","2148","0.6363126223251783","0.16666666666666666","0.3157894736842105","0.3142857142857143","0.6190476190476191","0.65","0.8333333333333334","0.6842105263157895","0.6857142857142857","0.38095238095238093","0.35"
"7","0","PnnOyy","true","0","false","4","200","2143","0.6335589553824849","0","0.3333333333333333","0.5571428571428572","0.6170212765957447","0.9032258064516129","1","0.6666666666666666","0.44285714285714284","0.3829787234042553","0.0967741935483871"
"10","0","PnnOyy","true","0","false","6","200","2143","0.6150139038386299","0.14285714285714285","0.4166666666666667","0.5285714285714286","0.5625","0.875","0.8571428571428571","0.5833333333333334","0.4714285714285714","0.4375","0.125"
"3","0","PnnOyy","true","0","false","7","200","2122","0.6128206482167924","0.5555555555555556","0.5789473684210527","0.5142857142857142","0.5714285714285714","0.6086956521739131","0.4444444444444444","0.42105263157894735","0.4857142857142857","0.42857142857142855","0.391304347826087"
"4","0","PnnOyy","true","0","false","7","200","2157","0.618415872477642","1","1","1","1","1","0","0","0","0","0"
"6","0","PnnOyy","true","0","false","8","200","2145","0.6318458422900055","0.38461538461538464","0.43333333333333335","0.5285714285714286","0.6","0.7297297297297297","0.6153846153846154","0.5666666666666667","0.4714285714285714","0.4","0.2702702702702703"
"9","0","PnnOyy","true","0","false","11","200","2160","0.6232012386144645","0.04","0.06382978723404255","0.2857142857142857","0.42424242424242425","0.92","0.96","0.9361702127659575","0.7142857142857143","0.5757575757575758","0.08"
"1","0","PnnOyy","true","0","false","12","200","2151","0.6252199552107842","0.9545454545454546","0.7857142857142857","0.8","0.7692307692307693","0.8214285714285714","0.045454545454545456","0.21428571428571427","0.2","0.23076923076923078","0.17857142857142858"
"12","0","PnnOyy","true","0","false","5","200","2129","0.6237079930109573","0.2","0.4727272727272727","0.45714285714285713","0.76","1","0.8","0.5272727272727272","0.5428571428571428","0.24","0"
"13","0","PnnOyy","true","0","false","24","200","2176","0.627192376172384","0","0.06060606060606061","0.11428571428571428","0.2127659574468085","0.10344827586206896","1","0.9393939393939394","0.8857142857142857","0.7872340425531915","0.896551724137931"
